isco,lamas_name,conceptUri,preferredLabel,ISCO-08 Title EN,Avg All 3 Scores,Rank Avg All 3 Scores,esco_code_title,isco_code_title
1120,"יושב ראש (יו""ר) דירקטוריון",http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.517553755,4,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) דירקטוריון",http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.514306595,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) דירקטוריון",http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.624579522,3,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) דירקטוריון",http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.707424482,1,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) דירקטוריון",http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.432070813,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) דירקטוריון",http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.657591872,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) מועצת מנהלים",http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.542137098,4,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) מועצת מנהלים",http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.494782883,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) מועצת מנהלים",http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.619123225,3,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) מועצת מנהלים",http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.759482046,1,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) מועצת מנהלים",http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.425450398,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,"יושב ראש (יו""ר) מועצת מנהלים",http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.676534799,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
